curve,x,y
roc,0.255355,0.948827
roc,0.255483,0.949056
roc,0.255612,0.949284
roc,0.255676,0.949665
roc,0.255697,0.950122
roc,0.25574,0.950274
roc,0.255953,0.950426
roc,0.256124,0.950731
roc,0.256188,0.951036
roc,0.256273,0.951416
roc,0.256358,0.951645
roc,0.256401,0.951873
roc,0.256465,0.952406
roc,0.256508,0.952635
roc,0.256614,0.952787
roc,0.256657,0.95332
roc,0.256913,0.95332
roc,0.256977,0.953701
roc,0.257062,0.954005
roc,0.257126,0.954539
roc,0.257276,0.954843
roc,0.257297,0.955224
roc,0.257382,0.955452
roc,0.257468,0.955681
roc,0.25751,0.956062
roc,0.257553,0.956823
roc,0.257638,0.957128
roc,0.257702,0.957356
roc,0.257766,0.957737
roc,0.257852,0.958041
roc,0.257895,0.958346
roc,0.257937,0.958727
roc,0.258044,0.958955
roc,0.258087,0.959108
roc,0.258129,0.959564
roc,0.258215,0.959641
roc,0.258364,0.959869
roc,0.258428,0.960554
roc,0.258535,0.960707
roc,0.258684,0.96124
roc,0.258727,0.961925
roc,0.258791,0.962382
roc,0.258833,0.962839
roc,0.258876,0.963372
roc,0.258961,0.963829
roc,0.259068,0.964286
roc,0.259153,0.96459
roc,0.259196,0.964819
roc,0.259303,0.965276
roc,0.259388,0.965428
roc,0.259559,0.96558
roc,0.259623,0.966342
roc,0.259687,0.967027
roc,0.259729,0.967712
roc,0.259751,0.968093
roc,0.259857,0.968474
roc,0.2599,0.968855
roc,0.259964,0.969159
roc,0.260007,0.96954
roc,0.260071,0.969845
roc,0.260135,0.969997
roc,0.260263,0.970302
roc,0.260306,0.97053
roc,0.260412,0.970682
roc,0.260434,0.971215
roc,0.260498,0.97152
roc,0.260604,0.971901
roc,0.260647,0.972205
roc,0.260732,0.972434
roc,0.260775,0.972738
roc,0.260839,0.972967
roc,0.260946,0.9735
roc,0.26101,0.973728
roc,0.261159,0.974261
roc,0.261244,0.974414
roc,0.261351,0.974718
roc,0.261458,0.974947
roc,0.2615,0.975251
roc,0.261564,0.975784
roc,0.261628,0.976013
roc,0.261692,0.976241
roc,0.261778,0.976546
roc,0.261863,0.977307
roc,0.261906,0.977612
roc,0.261991,0.977688
roc,0.262098,0.977917
roc,0.262183,0.978526
roc,0.26229,0.97883
roc,0.262333,0.978983
roc,0.262397,0.979135
roc,0.262461,0.979363
roc,0.262525,0.980049
roc,0.262674,0.980277
roc,0.262759,0.980582
roc,0.262802,0.981039
roc,0.262909,0.981267
roc,0.263101,0.981572
roc,0.263186,0.982029
